test_id,algorithm,category,difficulty,response_success,overall_score,vulnerability_score,decryption_score,reasoning_score,confidence,suggested_attacks_count,vulnerabilities_count
aes_gcm_020,AES-GCM,modern_symmetric,very_hard,True,0.44166666666666665,0.5,0.16666666666666666,1.0,1.0,3,0
aes_gcm_021,AES-GCM,modern_symmetric,very_hard,True,0.375,0.5,0.0,1.0,1.0,3,0
aes_gcm_022,AES-GCM,modern_symmetric,very_hard,True,0.44000000000000006,0.5,0.2,0.9,1.0,3,0
aes_gcm_023,AES-GCM,modern_symmetric,very_hard,True,0.375,0.5,0.0,1.0,0.98,3,0
aes_gcm_024,AES-GCM,modern_symmetric,very_hard,True,0.36000000000000004,0.5,0.0,0.9,1.0,3,0
aes_gcm_025,AES-GCM,modern_symmetric,very_hard,True,0.36250000000000004,0.5,0.0,0.9166666666666667,1.0,3,0
aes_gcm_026,AES-GCM,modern_symmetric,very_hard,True,0.4266666666666667,0.5,0.16666666666666666,0.9,1.0,3,0
aes_gcm_027,AES-GCM,modern_symmetric,very_hard,True,0.36250000000000004,0.5,0.0,0.9166666666666667,1.0,3,0
aes_gcm_028,AES-GCM,modern_symmetric,very_hard,True,0.36000000000000004,0.5,0.0,0.9,1.0,3,0
aes_gcm_029,AES-GCM,modern_symmetric,very_hard,True,0.36000000000000004,0.5,0.0,0.9,1.0,3,0
aes_gcm_030,AES-GCM,modern_symmetric,very_hard,True,0.375,0.5,0.0,1.0,1.0,3,0
aes_gcm_031,AES-GCM,modern_symmetric,very_hard,True,0.36000000000000004,0.5,0.0,0.9,1.0,3,0
aes_gcm_032,AES-GCM,modern_symmetric,very_hard,True,0.44166666666666665,0.5,0.16666666666666666,1.0,1.0,3,0
aes_gcm_033,AES-GCM,modern_symmetric,very_hard,True,0.375,0.5,0.0,1.0,1.0,3,0
aes_gcm_034,AES-GCM,modern_symmetric,very_hard,True,0.34500000000000003,0.5,0.0,0.8,1.0,3,0
aes_gcm_035,AES-GCM,modern_symmetric,very_hard,True,0.375,0.5,0.0,1.0,1.0,4,0
aes_gcm_036,AES-GCM,modern_symmetric,very_hard,True,0.36000000000000004,0.5,0.0,0.9,1.0,3,0
aes_gcm_037,AES-GCM,modern_symmetric,very_hard,True,0.4266666666666667,0.5,0.16666666666666666,0.9,1.0,3,0
aes_gcm_038,AES-GCM,modern_symmetric,very_hard,True,0.375,0.5,0.0,1.0,1.0,3,0
aes_gcm_039,AES-GCM,modern_symmetric,very_hard,True,0.36000000000000004,0.5,0.0,0.9,1.0,3,0
